Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
115.156.141.24,210.42.68.2,6,40016,80,840,2521.431
110.248.145.11,183.94.22.13,17,13002,8293,830,2521.611
115.156.142.209,104.21.66.212,17,46369,443,828,2522.079
59.115.177.47,122.205.0.94,17,12345,12345,819,2522.241
60.11.207.222,183.95.73.77,17,7708,8116,815,2522.303
222.192.187.248,115.156.144.12,6,443,46988,808,2522.346
115.156.142.255,203.119.204.172,6,49040,443,808,2522.716
183.95.73.74,17.57.145.136,6,6435,5223,804,2522.767
180.101.49.231,59.172.234.171,6,8000,61740,798,2522.87
115.156.143.236,59.173.183.30,17,38938,61080,798,2522.913
42.231.124.146,183.94.22.75,17,23746,50465,795,2523.093
61.240.206.15,183.95.73.77,6,443,54511,792,2523.176
115.156.142.27,43.141.130.82,6,48482,443,792,2523.252
111.39.114.5,115.156.141.184,6,22471,43886,789,2523.312
120.133.65.232,115.156.143.228,6,443,50288,784,2523.658
120.199.83.218,222.20.87.165,6,19796,57999,781,2523.765
1.82.78.104,115.156.141.152,17,14207,33818,781,2523.844
218.106.117.236,119.34.173.48,17,51075,22980,780,2523.932
58.19.27.35,27.37.206.194,6,55634,443,780,2524.027
122.188.184.111,183.94.22.37,6,80,60234,778,2524.091
61.242.151.134,183.95.73.90,17,10505,32269,777,2524.16
115.156.144.82,17.57.145.137,6,4455,5223,776,2524.255
115.156.142.100,52.123.128.14,6,54494,443,770,2524.281
58.205.215.156,115.156.144.214,6,443,47620,769,2524.343
183.95.73.42,110.242.69.174,6,49907,443,769,2524.371
183.94.22.80,183.92.35.234,6,58761,49155,760,2524.444
121.194.7.242,115.156.143.88,6,443,5958,757,2524.489
122.189.237.8,183.94.22.62,6,443,46902,757,2524.752
104.208.16.90,222.20.76.101,6,443,63970,751,2524.785
115.156.142.92,113.31.106.108,1,,,743,2524.899
58.19.27.64,122.189.82.211,6,4310,443,743,2525.098
115.156.141.182,40.126.35.134,6,49684,443,743,2525.267
124.91.148.230,218.106.117.236,17,28314,2875,743,2525.303
34.120.52.64,115.156.156.209,6,443,54880,742,2525.303
120.241.149.244,218.197.230.67,1,,,733,2525.61
183.95.73.59,36.248.205.236,17,13423,1158,733,2525.619
115.156.141.126,1.85.207.119,17,42335,19173,730,2525.864
157.255.246.41,183.94.22.32,17,8023,17388,722,2525.911
113.31.106.108,115.156.142.92,1,,,721,2525.948
120.241.118.244,183.94.22.33,6,17791,53580,720,2526.009
115.156.141.214,117.190.80.44,6,53657,80,719,2526.044
183.95.73.88,123.234.3.224,6,56522,443,718,2526.194
211.69.197.18,119.29.29.29,1,,,717,2526.276
58.19.27.54,110.52.197.38,6,49919,4764,709,2526.488
58.243.203.41,218.106.117.236,6,443,54832,708,2526.508
115.156.142.1,42.186.104.58,6,60358,11231,705,2526.856
210.42.68.10,115.156.143.214,6,80,38302,704,2526.943
27.38.244.182,183.94.22.70,17,12327,40857,702,2527.002
115.156.143.70,58.205.215.150,6,38776,443,702,2527.268
58.19.27.49,119.36.175.53,6,50362,443,701,2527.587
115.156.143.215,120.204.13.203,17,56617,3478,695,2527.989
115.156.141.242,72.252.32.56,17,52123,18686,695,2528.002
119.29.50.113,115.156.142.42,6,443,39148,695,2528.311
58.19.27.83,119.36.224.12,6,58574,443,692,2528.329
58.19.27.45,221.15.71.65,6,51756,443,691,2528.383
182.118.233.67,183.94.22.20,17,40436,12070,690,2528.477
183.95.73.17,123.145.193.12,17,51112,21315,688,2528.54
220.197.31.37,183.94.22.10,6,443,44962,684,2528.543
101.28.253.164,218.106.117.229,6,443,47136,682,2528.816
115.156.144.110,45.253.180.245,6,51796,10002,680,2528.882
115.156.143.38,121.194.11.72,6,6963,443,678,2529.029
115.156.141.109,119.120.239.146,17,15121,6644,673,2529.131
115.156.141.218,182.254.61.198,6,47560,443,672,2529.193
119.36.225.50,183.95.73.54,6,443,6853,671,2529.34
115.156.141.97,14.153.126.240,17,52551,41541,670,2529.62
156.238.204.69,115.156.143.249,6,443,52569,668,2529.671
13.89.179.8,218.106.117.229,6,443,60622,666,2529.807
112.132.119.67,183.94.22.74,6,443,51894,664,2529.831
115.156.141.217,2.16.168.5,17,56872,443,664,2530.018
58.205.215.159,115.156.143.164,6,80,53868,663,2530.066
44.232.249.159,211.67.27.190,6,443,8556,660,2530.101
116.172.66.189,183.95.73.80,6,8443,53288,660,2530.116
58.19.27.85,116.133.8.61,6,37149,443,658,2530.148
157.148.36.249,183.94.22.82,6,443,33190,656,2530.163
183.204.244.235,183.95.73.68,6,443,57390,650,2530.179
183.94.132.187,218.106.117.230,17,3729,12345,649,2530.202
211.67.22.186,113.240.96.112,6,45896,443,649,2530.498
114.241.6.182,183.95.73.18,17,6891,41231,648,2530.79
218.106.117.236,113.201.42.163,17,59712,80,643,2530.993
218.197.231.161,42.187.138.58,17,62262,3478,638,2531.721
111.172.236.83,115.156.142.81,6,80,6457,637,2531.741
210.42.68.3,115.156.142.175,6,80,40434,637,2531.895
115.156.143.181,58.205.215.154,6,53330,443,635,2532.008
115.156.143.217,23.66.38.214,17,47951,443,632,2532.048
101.236.9.24,115.156.142.210,6,443,45610,631,2532.089
115.156.143.105,69.231.153.77,6,3435,443,631,2532.537
115.156.142.42,119.29.50.113,6,39148,443,617,2533.079
183.95.73.73,1.13.127.211,6,46128,443,613,2533.236
183.95.73.78,113.200.2.1,6,55811,443,605,2533.245
123.119.204.29,183.95.73.27,17,7207,25410,602,2533.372
183.94.22.77,3.165.11.22,6,51122,443,599,2533.537
115.156.143.62,122.189.220.164,6,52870,443,598,2534.393
115.156.141.35,104.17.222.19,17,53955,443,595,2534.516
222.20.87.165,13.78.111.199,6,58009,443,594,2534.6
222.20.98.12,44.208.9.11,6,56284,443,593,2534.735
122.189.236.41,183.95.73.66,6,80,59374,592,2535.042
115.156.142.81,111.172.236.83,6,6399,80,589,2535.167
183.95.73.29,113.207.108.71,6,60887,7709,588,2535.382
218.106.117.236,112.230.22.251,17,8276,18725,587,2535.501
18.162.179.244,218.106.117.236,1,,,586,2535.766
112.224.161.197,183.94.22.20,17,4494,7700,585,2535.814
123.52.184.35,115.156.141.64,6,62489,51962,584,2535.96
115.156.141.183,120.232.27.24,17,55483,23000,583,2536.12
61.165.102.71,183.95.73.21,17,23520,60786,583,2536.279
42.56.77.138,183.95.73.76,6,443,53540,582,2536.298
115.156.144.124,156.238.222.66,6,45800,443,574,2536.411
125.39.104.125,183.95.73.88,6,443,59200,572,2536.677
222.192.186.76,218.197.246.47,6,443,58790,568,2536.732
223.166.84.155,218.106.117.236,6,42217,45106,565,2537.114
42.56.77.138,183.95.73.78,6,443,53221,561,2537.198
183.94.138.61,183.94.22.55,17,24847,53326,559,2537.214
112.86.188.21,183.95.73.65,17,12188,57724,558,2537.222
115.156.141.6,43.192.89.56,17,42778,9339,551,2537.359
111.124.200.101,115.156.141.224,6,443,57832,550,2537.404
183.95.73.36,112.64.235.113,6,57882,443,546,2537.416
220.202.20.244,183.95.73.20,6,443,58894,541,2537.636
183.95.73.21,59.54.107.175,17,60786,12309,539,2537.852
203.209.250.2,115.156.141.203,6,443,6856,535,2537.926
114.55.236.88,218.106.117.236,17,443,33719,533,2537.951
122.205.0.94,1.193.75.212,6,14070,15261,533,2538.229
222.192.187.241,115.156.142.81,6,80,6513,529,2538.423
101.50.8.134,183.94.22.19,6,443,42152,528,2538.463
119.36.90.147,218.106.117.236,6,80,5268,528,2538.494
211.91.233.18,183.94.22.65,6,443,6182,528,2538.588
150.171.27.11,115.156.141.182,6,443,49767,528,2538.917
8.153.109.248,115.156.141.159,6,443,45448,528,2538.98
222.192.187.241,115.156.141.198,6,443,57507,527,2539.464
58.19.27.57,116.128.170.191,6,49821,443,526,2539.559
27.16.213.251,202.114.0.250,6,56855,443,522,2539.598
113.200.2.1,183.95.73.78,6,443,55811,522,2539.706
58.19.27.89,110.230.20.168,17,8337,5657,520,2539.982
183.94.22.39,221.200.105.100,6,6699,24363,520,2540.123
115.156.141.138,160.86.121.25,17,46182,62728,517,2540.167
13.89.179.8,183.94.22.91,6,443,12058,498,2540.179
115.156.143.160,17.57.145.148,6,54167,5223,497,2540.562
58.19.27.81,111.173.146.54,17,13798,25305,493,2540.741
222.192.187.241,115.156.141.33,6,443,57856,493,2541.04
120.221.12.142,115.156.144.188,17,26119,45217,492,2541.163
23.198.100.160,218.106.117.236,1,,,486,2541.401
157.148.127.122,218.106.117.236,6,25021,46292,484,2541.419
115.156.143.82,39.105.66.218,6,61765,443,483,2541.809
183.94.22.57,120.52.87.247,6,46488,443,480,2541.894
113.135.54.240,183.94.22.21,17,6279,60786,480,2542.137
103.28.54.100,115.156.143.1,6,27025,59909,480,2542.156
115.156.143.145,222.192.187.240,6,40294,443,480,2542.81
39.105.66.218,115.156.143.82,6,443,61765,477,2542.923
115.156.141.169,121.194.11.73,6,48924,443,475,2543.012
115.156.143.215,112.19.142.108,6,57926,443,474,2543.209
20.42.72.131,115.156.212.16,6,443,12533,474,2543.218
115.156.143.14,43.137.190.166,6,58843,443,468,2543.254
115.156.142.37,45.145.252.3,6,39306,443,468,2543.46
183.44.0.47,183.95.73.21,17,15150,60786,466,2543.491
157.255.219.229,218.106.117.236,6,443,55837,464,2543.509
103.37.152.97,183.95.73.87,6,80,47564,464,2543.603
121.194.11.73,115.156.144.8,6,443,45442,463,2543.76
115.156.141.152,180.233.86.15,17,31781,27544,461,2543.872
18.162.179.244,115.156.146.53,1,,,460,2543.886
23.198.100.160,115.156.143.247,1,,,456,2544.042
60.222.177.86,183.95.73.34,17,17442,41779,452,2544.345
115.156.142.159,13.107.139.11,6,6861,443,452,2544.512
218.104.111.114,183.94.22.157,17,53,38168,450,2544.56
218.197.143.74,115.156.142.29,17,8310,7401,447,2544.674
58.205.220.238,115.156.141.125,6,443,4204,445,2544.926
125.94.46.9,183.94.22.93,6,20042,53956,438,2545.232
112.132.86.39,218.106.117.232,17,3827,8021,436,2545.298
